Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,Physical_Activity,Parental_Education_Level,Exam_Score,Extracurricular_Activities_No,Extracurricular_Activities_Yes,School_Type_Private,School_Type_Public,Gender_Female,Gender_Male,Internet_Access_No,Internet_Access_Yes,Peer_Influence_Negative,Peer_Influence_Neutral,Peer_Influence_Positive,Distance_from_Home_Far,Distance_from_Home_Moderate,Distance_from_Home_Near,Learning_Disabilities_No,Learning_Disabilities_Yes
20,92,2,1,5,86,1,0,2,2,2,2,68,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0
26,83,0,1,8,83,2,2,1,0,2,0,71,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0
17,96,2,2,10,93,2,2,2,1,4,1,70,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0
28,98,2,2,7,59,2,1,1,2,3,1,72,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
34,63,2,0,9,83,2,2,2,0,2,0,69,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0
18,76,2,0,5,56,2,1,1,1,2,0,63,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0
17,61,2,2,7,74,0,0,2,2,2,2,62,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0
29,73,2,2,7,76,2,2,1,0,3,1,68,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0
29,81,1,2,9,51,1,2,2,2,5,2,70,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
17,96,2,2,6,54,2,1,2,2,4,1,69,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0
17,94,2,2,10,92,1,2,1,2,2,1,68,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0
18,65,0,2,7,64,2,2,0,2,1,1,65,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
12,64,2,1,5,67,2,3,1,2,2,1,59,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
14,84,2,2,5,82,2,3,1,2,3,0,66,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0
14,81,0,2,6,61,1,0,1,2,4,1,64,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
15,71,1,2,8,60,0,5,1,0,4,1,63,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0
20,96,2,2,6,71,2,5,1,0,3,0,72,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
21,97,2,0,6,53,1,0,1,2,3,1,67,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1
29,76,2,2,8,96,1,2,1,2,2,2,94,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
14,96,2,0,4,97,1,2,2,2,3,1,70,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0
26,75,1,2,6,72,2,0,1,0,3,1,66,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
19,89,1,2,5,60,1,4,2,2,2,2,69,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0
20,79,2,1,6,74,1,2,1,2,2,1,64,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
24,65,2,2,7,55,1,1,1,0,3,1,63,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1
13,97,0,0,7,70,2,1,1,0,4,2,71,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0
22,78,0,2,7,54,2,1,2,2,3,1,65,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1
21,89,1,2,9,85,1,1,2,2,5,0,68,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0
23,75,2,2,7,64,0,1,1,2,3,1,64,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1
22,61,1,1,10,76,0,1,0,0,2,0,64,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
35,64,2,2,8,51,2,2,2,2,5,1,66,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1
16,80,0,2,6,76,2,1,2,0,4,0,68,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
17,88,2,2,10,50,2,3,1,0,5,0,67,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0
16,73,1,0,7,96,2,1,2,2,3,1,66,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0
17,88,2,2,10,75,2,2,2,2,3,1,68,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
16,88,1,2,7,55,2,3,1,1,3,2,66,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
27,88,2,2,7,67,2,3,0,2,4,0,71,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
29,80,2,0,8,52,2,4,1,2,4,1,71,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0
17,97,2,0,7,77,2,0,1,2,4,0,68,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
15,80,0,1,9,56,0,3,2,2,3,1,64,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1
23,78,2,2,10,74,1,3,2,2,4,1,67,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0
17,68,0,2,4,65,0,0,2,2,2,1,64,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0
24,72,0,1,8,88,0,3,1,2,2,1,68,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0
21,62,2,1,6,74,0,0,1,0,3,2,62,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1
11,85,2,1,4,92,1,0,2,0,1,0,64,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
29,70,1,0,8,97,1,3,1,0,3,2,70,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
31,72,2,2,8,98,0,0,1,2,4,0,68,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
16,91,2,2,8,63,0,2,2,0,3,0,69,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0
18,73,1,2,8,88,1,3,1,2,4,0,65,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0
22,70,2,0,8,72,2,2,0,2,3,1,67,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
24,91,0,2,7,93,1,0,2,2,2,1,71,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
32,65,2,1,8,57,1,2,1,2,3,1,65,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0
19,78,2,2,9,74,1,2,1,2,5,1,66,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0
15,80,0,2,7,80,2,0,1,1,5,1,65,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0
12,87,2,2,7,53,1,2,2,2,1,0,65,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0
16,85,1,2,7,93,0,1,2,0,3,1,68,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
20,92,2,2,5,66,2,2,2,2,2,0,68,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1
31,62,0,2,8,83,2,0,2,0,2,0,67,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1
17,72,1,2,5,96,0,3,0,2,3,1,65,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0
21,71,2,1,8,86,2,2,2,0,2,0,66,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
20,66,2,2,7,94,1,0,2,1,4,1,63,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0
35,72,0,0,5,75,2,1,1,2,5,0,72,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0
17,81,2,0,6,78,2,2,1,2,2,1,67,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0
17,87,0,1,6,84,2,0,2,2,3,0,67,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
26,75,1,2,9,56,2,1,1,2,5,1,66,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0
24,89,1,2,7,83,2,1,1,1,3,1,66,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0
31,73,0,2,8,57,2,2,1,0,4,1,69,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
24,72,2,1,9,53,2,0,1,0,4,1,62,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1
18,82,1,2,9,73,1,2,1,2,4,0,66,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0
24,61,2,2,7,80,0,0,1,2,3,2,64,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
27,63,0,2,6,98,2,1,1,0,2,1,67,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0
25,77,0,0,8,85,2,2,2,2,1,0,71,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
26,89,2,1,10,61,1,0,2,0,3,1,68,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0
27,64,0,1,8,58,2,2,0,0,1,2,66,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
28,94,2,0,7,80,2,3,1,0,4,2,75,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
24,89,2,0,8,61,2,1,1,0,3,2,72,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0
19,84,0,1,7,85,2,1,0,2,3,1,68,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0
21,93,2,2,6,56,2,1,1,2,3,1,68,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0
27,76,1,0,8,67,2,1,2,2,4,1,69,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
15,69,2,2,7,89,2,1,1,0,2,0,63,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
22,80,2,0,10,92,2,0,2,0,2,1,70,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0
18,82,1,2,6,67,1,1,0,1,3,2,66,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0
20,82,1,1,8,60,2,3,2,0,4,1,66,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0
28,83,2,0,6,98,2,1,1,0,2,2,72,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
21,98,1,2,6,88,2,1,2,1,3,2,71,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
20,96,0,2,4,90,2,3,1,2,2,0,72,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0
12,95,2,2,8,61,0,4,0,0,1,0,69,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0
24,92,1,0,6,71,1,2,1,0,2,1,71,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
24,98,2,1,9,53,2,3,0,1,2,2,69,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
33,64,0,2,8,55,2,1,2,0,3,0,68,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0
18,71,1,1,7,61,1,2,1,2,4,0,61,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
21,80,2,0,5,65,0,2,2,1,1,2,68,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
21,94,0,2,8,100,1,0,1,2,3,2,72,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
29,80,2,2,6,71,2,0,2,2,3,0,70,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0
19,90,0,2,5,85,0,0,2,0,5,2,73,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0
22,66,2,0,8,95,1,3,2,2,3,1,67,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0
24,70,2,0,5,62,2,2,1,2,4,0,65,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1
21,89,2,2,4,57,2,1,0,2,2,1,68,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0
17,67,1,0,9,62,0,3,2,2,3,1,65,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
21,74,0,2,6,94,2,1,1,0,1,1,97,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
26,71,0,1,4,83,1,1,2,2,3,0,66,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0
14,74,0,0,6,73,0,2,2,2,3,1,67,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0
21,88,0,2,6,91,2,2,0,2,1,1,70,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0
16,75,0,2,9,62,2,3,1,2,4,1,66,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0
27,82,2,0,5,62,1,1,1,0,4,1,69,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0
11,64,0,2,5,78,1,2,1,0,4,0,62,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
17,92,2,1,8,90,0,1,0,1,3,1,68,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
22,75,2,0,6,63,1,1,1,2,2,0,67,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
29,86,2,2,7,61,2,0,2,2,4,1,68,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0
20,89,0,2,6,74,2,1,1,0,2,1,69,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
17,68,2,2,10,57,2,1,0,2,1,1,62,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1
31,95,0,2,5,87,2,2,1,2,3,2,75,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
11,85,2,2,7,79,1,2,0,1,3,1,65,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
7,77,0,2,9,76,2,2,2,0,3,0,63,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0
23,67,0,2,6,94,1,1,2,2,2,0,66,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0
17,98,1,0,6,87,0,3,2,2,5,0,71,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0
14,90,0,2,8,57,2,0,2,2,3,0,66,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1
24,68,2,2,9,71,2,2,2,2,4,0,66,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
21,74,2,0,6,66,1,1,2,0,4,1,66,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0
12,88,2,2,7,86,0,3,2,0,3,1,68,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1
25,91,2,2,8,74,0,1,2,0,3,0,71,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0
24,78,2,2,9,91,1,0,0,0,3,2,68,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0
19,89,1,2,8,71,2,2,1,0,4,1,68,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
31,75,2,2,7,90,1,2,2,0,2,1,68,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1
14,68,2,2,6,52,2,2,1,2,2,0,62,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
11,85,0,1,10,57,0,0,2,0,5,1,65,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
16,99,1,0,6,88,0,2,1,1,3,2,71,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
20,72,2,0,7,56,1,0,1,2,6,0,63,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1
21,78,0,2,8,84,1,1,0,1,4,1,68,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
19,87,0,1,8,86,1,1,2,0,4,1,69,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0
22,82,0,0,10,83,2,1,1,0,2,0,69,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1
12,94,2,0,7,91,1,3,2,2,3,2,71,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0
29,90,2,0,7,76,2,0,1,2,1,2,71,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0
20,62,2,2,9,95,1,0,2,2,3,1,62,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1
27,100,1,1,7,78,1,2,2,2,2,1,70,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
22,90,0,0,8,75,0,1,1,1,3,0,70,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
23,95,2,2,7,75,2,2,0,2,2,0,73,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
23,86,2,0,8,96,1,3,2,2,2,1,71,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0
23,94,2,1,8,62,2,2,1,2,0,2,69,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0
28,74,2,1,4,62,2,1,1,2,3,1,65,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
21,95,0,2,4,55,2,2,2,0,1,0,71,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0
24,68,2,2,4,98,0,2,2,0,2,1,68,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
19,63,2,0,7,56,2,2,1,2,3,1,64,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0
29,92,1,1,4,84,2,2,1,2,3,2,71,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
16,93,1,2,7,71,2,0,2,0,2,1,67,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
31,67,2,1,7,92,0,2,2,2,3,1,66,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0
20,94,1,0,8,89,2,1,1,2,4,1,71,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
11,87,1,2,8,57,0,0,1,2,2,1,62,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0
21,81,0,2,8,73,2,3,1,2,2,1,67,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1
16,93,2,1,8,51,2,3,1,2,2,0,67,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
25,77,1,2,7,71,2,0,2,2,3,1,66,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0
16,68,1,2,7,85,0,1,1,0,3,2,64,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0
17,71,1,2,6,62,2,2,1,2,3,0,62,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1
9,80,2,0,7,91,1,1,2,2,3,0,65,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0
17,81,2,1,5,53,1,0,2,2,1,0,63,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
5,92,2,2,9,52,2,2,0,2,4,0,64,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1
10,92,1,0,6,51,1,1,2,2,3,1,65,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0
25,83,2,0,7,64,2,0,1,2,2,0,68,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
25,91,2,0,7,73,2,2,1,2,3,1,72,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0
23,68,2,2,9,55,2,0,1,2,3,0,64,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0
14,62,0,2,4,100,1,1,1,2,3,1,62,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
20,95,2,1,7,100,1,3,1,2,2,1,69,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0
20,63,1,1,8,76,2,3,2,2,4,2,64,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0
13,70,0,2,10,78,2,1,1,2,2,1,61,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0
29,88,2,0,7,96,1,2,1,1,2,1,72,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0
25,76,2,1,6,88,1,1,2,2,3,0,66,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0
19,95,0,1,10,58,1,2,0,2,3,1,69,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
20,72,2,2,8,90,0,2,1,1,2,0,65,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0
21,60,0,2,9,62,2,2,1,2,3,1,64,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
8,72,1,2,5,72,2,3,0,1,4,1,62,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0
19,83,2,2,8,77,0,1,1,2,4,1,66,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0
16,75,1,1,5,86,2,0,1,2,1,0,62,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0
14,81,2,2,5,58,0,3,1,0,4,2,66,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0
18,95,2,0,8,54,2,2,0,2,3,0,70,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0
31,96,2,2,8,93,1,3,1,2,3,1,75,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
24,71,1,0,6,91,2,3,0,2,2,1,67,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0
17,78,1,2,9,76,1,4,2,2,2,0,66,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
23,82,2,0,6,83,2,2,2,2,3,2,71,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0
28,98,0,2,7,86,2,2,2,0,2,1,75,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0
26,100,0,0,7,74,1,1,2,2,2,1,72,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0
16,89,2,2,9,74,2,1,1,2,3,1,65,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0
24,75,1,2,5,98,0,1,1,2,3,1,67,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
22,60,2,2,6,92,1,2,1,0,2,1,63,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0
25,60,2,1,5,73,1,1,2,2,2,1,62,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
24,78,1,0,10,61,0,2,2,2,4,0,69,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0
26,80,2,2,7,94,2,1,1,2,2,2,70,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0
17,61,1,2,6,82,0,0,2,0,4,2,63,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
28,87,2,2,7,70,2,2,1,2,2,2,71,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
21,72,2,1,8,56,2,0,1,2,4,1,63,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
32,82,1,2,8,88,1,0,0,2,2,0,71,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0
16,72,2,2,6,66,1,0,1,2,4,0,63,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0
21,76,2,1,5,78,0,0,1,0,3,1,65,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0
16,69,0,0,7,85,2,0,0,0,3,1,66,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0
17,81,1,2,9,77,2,3,1,2,4,0,66,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
18,68,0,0,6,82,1,0,2,0,3,1,66,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
23,66,2,0,6,83,2,0,0,2,2,1,66,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0
17,87,2,2,5,60,2,4,2,2,3,1,67,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1
20,90,0,2,8,70,2,0,2,2,3,1,68,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0
33,64,2,1,10,76,1,2,0,0,3,1,68,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0
30,79,1,2,8,84,2,3,1,2,3,0,69,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0
23,63,2,1,6,87,1,1,2,2,2,2,64,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
20,84,2,2,6,85,2,0,2,2,3,1,67,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0
21,71,2,2,10,55,1,1,2,2,4,1,63,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
14,81,2,0,6,64,1,2,0,0,2,1,64,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
18,97,1,2,7,70,1,0,0,2,2,1,66,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1
10,82,0,2,7,82,1,2,1,0,4,1,65,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0
22,83,2,2,8,60,1,4,2,2,2,2,68,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0
24,76,1,0,9,75,1,0,1,2,5,1,66,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0
17,98,0,0,9,94,1,0,0,1,3,0,71,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0
29,91,2,0,7,87,2,2,2,0,4,0,74,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0
13,71,2,0,7,86,1,2,1,2,3,2,65,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
11,94,1,0,8,92,0,0,2,2,4,1,68,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0
21,77,2,0,6,70,1,2,0,2,2,0,68,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0
26,93,2,2,8,88,2,1,2,0,4,0,72,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1
30,93,0,0,7,53,2,3,1,2,2,2,74,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0
17,68,1,0,8,53,2,0,1,2,2,0,61,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
26,88,1,1,10,67,1,0,1,1,3,1,65,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0
20,72,0,1,8,60,1,0,1,2,5,1,63,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
19,72,0,2,7,76,2,1,2,0,2,1,66,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0
25,72,1,0,6,59,2,2,1,2,3,1,66,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
24,89,0,2,7,99,2,2,1,0,4,1,73,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0
11,69,2,2,5,93,2,0,2,0,4,0,63,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0
28,89,0,1,4,90,0,3,1,0,2,2,73,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1
16,67,1,0,8,98,2,0,0,1,3,1,63,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0
22,64,2,0,8,68,2,2,2,2,4,1,65,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
22,75,1,1,6,62,2,0,0,0,3,2,65,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0
17,79,1,0,7,82,2,0,2,0,2,0,66,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
16,62,0,2,4,89,0,3,1,2,3,0,65,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0
20,99,2,2,8,75,2,2,1,0,2,2,70,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0
27,89,2,2,7,65,2,1,2,2,3,1,70,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0
23,73,0,2,9,75,2,0,0,0,3,1,68,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0
18,73,2,0,8,53,2,1,1,0,3,2,64,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0
25,78,2,2,7,86,2,1,2,2,3,2,68,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0
3,85,1,0,8,73,1,2,1,2,3,1,62,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0
10,68,1,2,6,96,1,1,0,2,3,0,61,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
18,94,0,2,7,56,1,1,1,2,3,2,69,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0
13,70,2,2,7,100,2,3,1,2,3,1,65,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
